Facility ID,LGA Name,Facility Name,Facility_AutoNumber,Street #,Street Name,Street Type,Suburb/Town,Pcode,Melway Ref,VicRoads Ref,Latitude,Longitude,Facility Ownership,Facility Purpose,Facility Category,CFA Safer Place?,Access_,FaciltySportPlayedID,Facility ID,Sports Played,Number of Field/Courts,Field/Surface Type,Age of Facility,Condition of Facility,Facility Upgrade Age,Changerooms,Facility Features,Spectator numbers for seating/shelter,FullAddress,MelwaysVicRoadsRef
ALPINE10917,Alpine Shire Council ,Bright Bowls Club,3649,,Churchill,Avenue,BRIGHT,3741,,661 Q3,-36.731007,146.969729,,,,FALSE,,24668,ALPINE10917,Lawn Bowls,2.00,Grass,,,,,,," Churchill Avenue, BRIGHT 3741",661 Q3
ALPINE10923,Alpine Shire Council ,Dederang Bowls Club,3656,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.476276,147.021519,,,,FALSE,,24676,ALPINE10923,Lawn Bowls,1.00,Grass,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE4257,Alpine Shire Council,Myrtleford Bowls Club,4257,,Lewis,Avenue,MYRTLEFORD,3737,660 B7,,-36.56297,146.72498,,,,FALSE,,26725,ALPINE4257,Lawn Bowls,2.00,Grass,,,,,,," Lewis Avenue, MYRTLEFORD 3737",660 B7
ALPINE10943,Alpine Shire Council ,Tawonga Bowls Club,3677,,Kiewa-Valley,Hwy,TAWONGA,3697,,50 D4,-36.698664,147.143918,,,,FALSE,,24721,ALPINE10943,Lawn Bowls,1.00,Grass,,,,,,," Kiewa-Valley Hwy, TAWONGA 3697",50 D4
ALPINE11260,Alpine Shire Council,Alpine Motocycle Club,4992,, Morrisons ,Lane, MYRTLEFORD,,,,-36.541578,146.767051,,,,FALSE,,27157,ALPINE11260,Motor Cycling,,,,,,,,,"  Morrisons  Lane,  MYRTLEFORD ",
ALPINE11277,Alpine Shire Council,Myrtleford Motocycle Club,4993,,O'donnell ,Avenue,MYRTLEFORD,,,,-36.543227,146.724751,,,,FALSE,,27158,ALPINE11277,Motor Cycling,,,,,,,,," O'donnell  Avenue, MYRTLEFORD ",
ALPINE10939,Alpine Shire Council ,Myrtleford Race Track,3672,,Morrisons,Lane,MYRTLEFORD,3737,,49 D2,-36.541364,146.767159,,,,FALSE,,24714,ALPINE10939,Motor Sports,1.00,,,,,,,," Morrisons Lane, MYRTLEFORD 3737",49 D2
ALPINE10924,Alpine Shire Council ,Dederang Recreation reserve,3658,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.475264,147.020525,,,,FALSE,,24679,ALPINE10924,Netball,1.00,Asphalt,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24688,ALPINE10928,Netball,1.00,Asphalt,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24696,ALPINE10930,Netball (Indoor),1.00,Wooden Gymnasium,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10916,Alpine Shire Council ,Bright Skate Park (lions Park),3653,,Delany,Avenue,BRIGHT,3741,,661 P2,-36.728932,146.970354,,,,FALSE,,24667,ALPINE10916,Skating,1.00,Concrete,,,,,,," Delany Avenue, BRIGHT 3741",661 P2
ALPINE10940,Alpine Shire Council ,Cundy Park,3655,,Standish ,Street,MYRTLEFORD,3737,,660 E3 ,-36.556305,146.728418,,,,FALSE,,24715,ALPINE10940,Skating,1.00,Concrete,,,,,,," Standish  Street, MYRTLEFORD 3737",660 E3 
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24689,ALPINE10928,Skating,1.00,Concrete,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE10918,Alpine Shire Council ,Bright p-12 College,3652,,Bakers Gully ,Road,BRIGHT,3741,,661 O6,-36.733701,146.962508,,,,FALSE,,24670,ALPINE10918,Soccer,1.00,Grass,,,,,,," Bakers Gully  Road, BRIGHT 3741",661 O6
ALPINE10931,Alpine Shire Council ,Lakeside Football Reserve,3663,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.740988,147.168502,,,,FALSE,,24701,ALPINE10931,Soccer,1.00,Grass,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE10934,Alpine Shire Council ,Myrtleford Savoy Sports Club,3673,254,Myrtle  ,Street,MYRTLEFORD,3737,,660 B5,-36.553518,146.715794,,,,FALSE,,24707,ALPINE10934,Soccer,2.00,Grass,,,,,,,"254 Myrtle   Street, MYRTLEFORD 3737",660 B5
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24697,ALPINE10930,Soccer (Indoor Soccer / Futsal),1.00,Wooden Gymnasium,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10920,Alpine Shire Council ,Bright Sports Centre,3654,,Gavan,Street,BRIGHT,3741,,661 N3,-36.728695,146.958053,,,,FALSE,,24673,ALPINE10920,Squash / Racquetball,1.00,Wooden Flooring,,,,,,," Gavan Street, BRIGHT 3741",661 N3
ALPINE10941,Alpine Shire Council ,Myrtleford Indoor Sports Complex,3671,,O'donnel,Avenue,MYRTLEFORD,3737,,663 D3,-36.552593,146.725872,,,,FALSE,,24717,ALPINE10941,Squash / Racquetball,1.00,,,,,,,," O'donnel Avenue, MYRTLEFORD 3737",663 D3
ALPINE10936,Alpine Shire Council ,Jubilee Park & Swimming Pool,3662,,Lewis ,Avenue,MYRTLEFORD,3737,,660 B7,-36.562971,146.724982,,,,FALSE,,24710,ALPINE10936,Swimming,1.00,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool",,,,,,," Lewis  Avenue, MYRTLEFORD 3737",660 B7
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24698,ALPINE10930,Swimming,3.00,"30m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool",,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24699,ALPINE10930,Table Tennis,1.00,,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10924,Alpine Shire Council ,Dederang Recreation reserve,3658,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.475264,147.020525,,,,FALSE,,24680,ALPINE10924,Tennis (Outdoor),1.00,Asphalt,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE10926,Alpine Shire Council ,Gundowring Recreation reserve,3660,,Gundowring,Road,GUNDOWRING,3691,,36 B9,-36.422159,147.061754,,,,FALSE,,24682,ALPINE10926,Tennis (Outdoor),2.00,Asphalt,,,,,,," Gundowring Road, GUNDOWRING 3691",36 B9
ALPINE10936,Alpine Shire Council ,Jubilee Park & Swimming Pool,3662,,Lewis ,Avenue,MYRTLEFORD,3737,,660 B7,-36.562971,146.724982,,,,FALSE,,24711,ALPINE10936,Tennis (Outdoor),9.00,Grass,,,,,,," Lewis  Avenue, MYRTLEFORD 3737",660 B7
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24690,ALPINE10928,Tennis (Outdoor),4.00,Asphalt,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE5519,Alpine Shire Council,Pioneer Park Recreation Reserve,5519,,Coronation,Avenue,BRIGHT,3741,,661 P4,-36.737199,146.973353,,,,FALSE,,27855,ALPINE5519,Tennis (Outdoor),4.00,Artificial Turf,0 - 5 Years,5. Very Good,N/A,,,," Coronation Avenue, BRIGHT 3741",661 P4
ALPINE10942,Alpine Shire Council ,Porepunkah Recreation Reserve,3675,,Martley,Street,POREPUNKAH,3740,,661 M11,-36.698109,146.910729,,,,FALSE,,24720,ALPINE10942,Tennis (Outdoor),2.00,Artificial Turf,,,,,,," Martley Street, POREPUNKAH 3740",661 M11
ALPINE10932,Alpine Shire Council ,RC McNamara Reserve,3676,,Lewis ,Avenue,MYRTLEFORD,3737,,660 B7,-36.567524,146.723777,,,,FALSE,,24704,ALPINE10932,Tennis (Outdoor),6.00,Asphalt,,,,,,," Lewis  Avenue, MYRTLEFORD 3737",660 B7
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24700,ALPINE10930,Volleyball,1.00,Wooden Gymnasium,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10941,Alpine Shire Council ,Myrtleford Indoor Sports Complex,3671,,O'donnel,Avenue,MYRTLEFORD,3737,,663 D3,-36.552593,146.725872,,,,FALSE,,24718,ALPINE10941,Volleyball,1.00,Wooden Gymnasium,,,,,,," O'donnel Avenue, MYRTLEFORD 3737",663 D3
ARARAT12872,Ararat Rural City Council,Gordon Street Recreation Reserve,102,,Gordon,Street,ARARAT,3377,,554 H9,-37.290964,142.944466,,,,FALSE,,21572,ARARAT12872,Athletics,,,,,,,,," Gordon Street, ARARAT 3377",554 H9
ARARAT12868,Ararat Rural City Council,Alexandra Oval Reserve,98,,Waratah,Avenue,ARARAT,3377,,554 E7,-37.279414,142.927461,,,,FALSE,,21562,ARARAT12868,Australian Rules Football,1.00,Grass,,,,,,," Waratah Avenue, ARARAT 3377",554 E7
ARARAT12872,Ararat Rural City Council,Gordon Street Recreation Reserve,102,,Gordon,Street,ARARAT,3377,,554 H9,-37.290964,142.944466,,,,FALSE,,21573,ARARAT12872,Australian Rules Football,1.00,Grass,,,,,,," Gordon Street, ARARAT 3377",554 H9
ARARAT12882,Ararat Rural City Council,Lake Bolac Recreation Reserve,112,,Mortlake,Road,LAKE BOLAC,3351,,555 T9,-37.718696,142.842711,,,,FALSE,,21587,ARARAT12882,Australian Rules Football,1.00,Grass,,,,,,," Mortlake Road, LAKE BOLAC 3351",555 T9
ARARAT12884,Ararat Rural City Council,Maroona Recreation Reserve,114,,Mortlake-Ararat,Road,MAROONA,3377,,56 F9,-37.439012,142.860913,,,,FALSE,,21592,ARARAT12884,Australian Rules Football,1.00,Grass,,,,,,," Mortlake-Ararat Road, MAROONA 3377",56 F9
ARARAT12885,Ararat Rural City Council,Mininera Recreation Reserve,115,,Mac,Street,MININERA,3351,,74 H3,-37.602218,142.963743,,,,FALSE,,21594,ARARAT12885,Australian Rules Football,1.00,Grass,,,,,,," Mac Street, MININERA 3351",74 H3
ARARAT12886,Ararat Rural City Council,Moyston Recreation Reserve,116,2,Moyston-Great Western,Road,MOYSTON,3377,,56 D6,-37.299648,142.765968,,,,FALSE,,21598,ARARAT12886,Australian Rules Football,1.00,Grass,,,,,,,"2 Moyston-Great Western Road, MOYSTON 3377",56 D6
ARARAT12889,Ararat Rural City Council,Tatyoon Recreation Reserve,119,,Tatyoon,Road,TATYOON,3378,,74 H2,-37.52441,142.943444,,,,FALSE,,21606,ARARAT12889,Australian Rules Football,1.00,Grass,,,,,,," Tatyoon Road, TATYOON 3378",74 H2
ARARAT12894,Ararat Rural City Council,Willaura Recreation Reserve,124,,Delacome,Way,WILLLAURA,3379,,555 T3,-37.545101,142.744682,,,,FALSE,,21615,ARARAT12894,Australian Rules Football,1.00,Grass,,,,,,," Delacome Way, WILLLAURA 3379",555 T3
ARARAT12865,Ararat Rural City Council,Alexandra Hall,95,,Collings,Street,ARARAT,3377,,554 E7,-37.281984,142.92884,,,,FALSE,,21558,ARARAT12865,Badminton,,,,,,,,," Collings Street, ARARAT 3377",554 E7
ARARAT12871,Ararat Rural City Council,Ararat Rural City Recreation and Aquatics Centre,101,61-73,High,Street,ARARAT,3377,,554 F8,-37.28209,142.932911,,,,FALSE,,21567,ARARAT12871,Basketball,2.00,,,,,,,,"61-73 High Street, ARARAT 3377",554 F8
ARARAT12868,Ararat Rural City Council,Alexandra Oval Reserve,98,,Waratah,Avenue,ARARAT,3377,,554 E7,-37.279414,142.927461,,,,FALSE,,21563,ARARAT12868,Cricket,1.00,Synthetic Pitch,,,,,,," Waratah Avenue, ARARAT 3377",554 E7
ARARAT12875,Ararat Rural City Council,Aradale Cricket Ground,105,,Grano,Street,ARARAT,3377,,554 K6,-37.275846,142.959809,,,,FALSE,,21578,ARARAT12875,Cricket,1.00,,,,,,,," Grano Street, ARARAT 3377",554 K6
ARARAT12876,Ararat Rural City Council,Buangor Recreation Reserve,106,,Western,Highway,BUANGOR,3375,,57 D7,-37.365352,143.172993,,,,FALSE,,21579,ARARAT12876,Cricket,1.00,Synthetic Pitch,,,,,,," Western Highway, BUANGOR 3375",57 D7
